,cocktail_name,glass_id,category_ids
406,Morning Glory Fizz,39,8
407,Adderly Cocktail,4,1
408,Fancy Brandy,4,7
409,Montreal Gin Sour,192,8
410,Montezuma,9,8
411,Miss Jones,4,11
412,Mint Gin Cocktail,4,8
413,Mint Collins,5,8
414,Million-Dollar Cocktail,4,8
415,Millionaire Cocktail,4,8
416,Academic Review,1,1
417,Milk Punch,5,8
418,Merry Widow Fizz,39,8
419,May Blossom Fizz,39,8
420,Mary Garden Cocktail,4,8
421,19th Century,4,1
422,Manila Fizz,39,8
423,1626,4,1
424,Maracuya Mosquito,5,11
425,Madras,39,11
426,Absinthe Cocktail,4,8
427,Lychee Lucy,4,11
428,The Loop,1,11
429,Long Island Iced Tea,39,11
430,Fallen Leaves,4,7
431,L'italienne,4,11
432,Rum Dubonnet,4,8
433,Ruby Fizz,39,8
434,Limoncello Manzanilla Marmalade Sour,4,11
435,Royal Gin Fizz,39,8
436,Royal Cocktail,192,8
437,Royal Clover Club Cocktail,192,8
438,Lights On The Plaza,4,11
439,Rococo,4,8
440,Rock & Rye Cooler,5,8
441,Rock & Rye Cocktail,4,8
442,Le Paradini,4,11
443,Red Swizzle,5,8
444,Lemon Drop,4,11
445,Rebel Charge ,1,8
446,Rattlesnake Cocktail,4,8
447,Ramos Fizz,39,8
448,San Francisco,4,8
449,Sand-Martini Cocktail,4,8
450,Sake Martini (Sakini),4,8
451,Lemon Crush,4,11
452,Rye Whiskey Cocktail,4,8
453,Leaves Of Grass,1,11
454,Widow's Dream,4,8
455,Whiskey Flip,192,8
456,L.A. Sunrise,457,11
457,White Rose Cocktail,4,8
458,White Plush,5,8
459,White Elephant,4,8
460,Kretchma Cocktail,4,11
461,Whiskey Skin,462,8
462,Whiskey Milk Punch,5,8
463,Katana,4,11
464,Ethel Duffy Cocktail,4,7
465,Daiquiri,4,8
466,Wembley Cocktail,4,8
467,Weep-No-More Cocktail,4,8
468,Jungle Juice,5,11
469,Wedding Belle Cocktail,4,8
470,Waterloo,1,8
471,Waterbury Cocktail,4,8
472,Washington Cocktail,4,8
473,The Jamaican Ten Speed,4,11
474,Twin Six Cocktail,4,8
475,Jackie-O,4,11
476,Tropical Heart,52,8
477,Trois Rivieres,1,8
478,Tovarich Cocktail,4,8
479,Italian Screwdriver,457,11
480,T.N.T. Cocktail No. 2,1,8
481,T.N.T. Cocktail No. 1,4,8
482,Ibiza,4,11
483,Thunder,4,8
484,Huntsman Cocktail,4,11
485,Tequila Fizz,5,8
486,Humpty Dumpty,4,11
487,Tequila Cocktail,4,8
488,Temptation Cocktail,4,8
489,Tchoupitolas Street Guzzle,39,8
490,Tahitian Tea,39,8
491,Limey ,9,8
492,Headless Horseman,5,11
493,Love Cocktail,4,8
494,Los Angeles Cocktail,192,8
495,Long Island Tea,39,8
496,Harvey Wallbanger,5,11
497,Lime Giant,5,8
498,Lil Naue,235,8
499,Harrington,4,11
500,El Profesor,1,7
501,Leap Year Cocktail,4,8
502,Lasky Cocktail,4,8
503,Lady Love Fizz,4,8
504,Handball Cooler,39,11
505,Hyatt's Jamaican Banana,207,8
506,H.P.W. Cocktail,4,8
507,Hot Shot Margarita,4,8
508,The Groupie,1,11
509,Grape Nehi,4,11
510,Hole-in-One Cocktai,4,8
511,Grapefruit Gimlet Royale,4,11
512,Hair Raiser,4,8
513,Godmother,1,11
514,Green Opal,4,8
515,Green Hornet (Dry),5,8
516,Green Fizz,39,8
517,Godchild,4,11
518,Grape Vodka Froth,1,8
519,Grapefruit Nog,5,8
520,Golden Slipper,4,8
521,Golden Freindship,5,8
522,Golden Frappe,5,8
523,Glass Tower,5,11
524,Golden Fizz,39,8
525,Gloom Lifter,39,8
526,Georgia Peach,5,11
527,Georgia Mule,5,11
528,Gentle Ben,5,11
529,East India Cocktail No. 1,4,7
530,General Harrison's Eggnog,5,8
531,Gables Collins,5,11
532,Frozen Brandy and Rum,1,8
533,Frozen Apple,1,8
534,Frisky Witch,1,11
535,Froth Blower Cocktail,4,8
536,French Martini,4,11
537,Flatiron Martini,4,11
538,Favourite Cocktail,4,8
539,Electric Jam,5,11
540,Fairy Belle Cocktail,4,8
541,Duke Cocktail,9,8
542,Dreamy Dorini Smoking Martini,4,11
543,Dubonnet Highball,39,8
544,Dubonnet Fizz,39,8
545,Dubonnet Cocktail,4,8
546,Doctor Cook,235,8
547,Desert Sunrise,5,11
548,Dillatini,4,8
549,Devil's Cocktail,4,8
550,Derby Fizz,39,8
551,Cubeltini,4,11
552,Crocodile Cooler,457,11
553,Cosmopolitan,4,11
554,Dream Cocktail,4,7
555,Jean Lafitte Cocktail,4,8
556,Japanese Fizz,39,8
557,Citronella Cooler,5,11
558,North Pole Cocktail,4,8
559,The Cinquecento,4,11
560,New Orleans Gin Fizz,39,8
561,Napoleon,4,8
562,Zombie,5,5
563,Kiss the Boys Goodbye,4,8
564,X.Y.Z. Cocktail,4,5
565,K.G.B. Cocktail,4,8
566,Eye-Opener,192,8
567,Wiki Waki Woo,457,5
568,Elk's Own Cocktail,4,8
569,Eggnog Supreme,462,8
570,Egg Sour,1,8
571,White Lion Cocktail,4,8
572,White Lily Cocktail,4,5
573,Ice Cream Flip,192,5
574,Outrigger,1,8
575,Opera Cocktail,4,8
576,Virginia Dare,4,5
577,Opening Cocktail,4,8
578,Queen Bee,4,8
579,Van Vleet,1,5
580,Zaza Cocktail,4,8
581,The Vacation Cocktail,4,5
582,Dolores,9,7
583,Vesuvio,1,8
584,Urban Anxiety,4,3
585,Virgin,4,8
586,Tropica Cocktail,5,5
587,Vermouth Cassis,39,8
588,Verboten,4,8
589,Velvet Hammer No. 2,4,8
590,Velvet Hammer No. 1,4,8
591,Ulanda Cocktail,4,8
592,Torridora Cocktail,4,5
593,Boston Sour,192,8
594,Three Miller Cocktail,4,5
595,Bird-of-Paradise Fizz,39,8
596,Biffy Cocktail,4,8
597,Between-The-Sheets Cocktail,4,8
598,Third-Rail Cocktail,4,5
599,Bentley,4,8
600,Tahiti Club,1,5
601,Barton Special,1,8
602,Barnaby's Buffalo Blizzard,5,8
603,Susie Taylor,5,5
604,Baltimore Bracer,4,8
605,Bachelor's Bait Cocktail,4,8
606,Bushranger,4,8
607,Sunset at Gowanus,4,5
608,Bulldog Highballl,39,8
609,Bucks Fizz (Mimosa),5,8
610,Buckjones,39,8
611,Stormy Colada,39,5
612,Bronx SIlver Cocktail,192,8
613,Bronx Golden Cocktail,192,8
614,Stone Wall,1,5
615,Depth Bomb,1,7
616,Stone Cocktail,4,5
617,Almeria,4,8
618,Aunt Jemima,619,8
619,Spanish Town Cocktail,4,5
620,Apricot Lady,1,8
621,Apricot Anise Collins,5,8
622,Apple Rum Rickey,39,8
623,Sloppy Joe's Cocktail No. 1,4,5
624,Applejack Punch,462,8
625,Brandy Flip,192,8
626,Sir Walter Cocktail,4,5
627,Saxon Cocktail,4,5
628,Boston Bullet,4,8
629,Sargasso,4,5
630,Santiago Cocktail,4,5
631,Black Velvet,9,8
632,Saint Lucy Bracer,4,5
633,Applecar,4,8
634,Apple Blow Fizz,39,8
635,Antoine Special,235,8
636,Ante,4,8
637,S & V,4,5
638,Rum Toddy (Cold),1,5
639,Deauville Cocktail,4,7
640,Allies Cocktail,4,8
641,Rum Swizzle,5,5
642,A. J.,4,8
643,After Supper Cocktail,4,8
644,Rum Sour,25,5
645,Acapulco,1,8
646,Absinthe Drip Cocktail,1,8
647,Ambrosia,39,8
648,Rum Screwdriver,39,5
649,Rum Rickey,39,5
650,Scotch Cocktail,4,8
651,Rum Relaxer,457,5
652,Rum Old-Fashioned,1,5
653,Rum Martini,4,5
654,Rum Highball,39,5
655,Rum Fix,39,5
