name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Tropica Cocktail,Rum - Daiquiris,2 oz, Light Rum,3 oz, Pineapple Juice,1 oz, Fresh grapefruit juice,1 oz, Grenadine,, Pineapple wedge,,,Mix ingredients in ice-filled Collins glass. Garnish with a pineapple slice.,Collins Glass,14
Vermouth Cassis,Cocktail Classics,3/4 oz, Creme de Cassis,1 1/2 oz, Dry Vermouth,,,,,,,,,Stir in highball glass with ice cubes and Fill with carbonated water. Stir again and serve.,Highball Glass,7
Verboten,Cocktail Classics,1 1/2 oz, Gin,1 oz, Forbidden Fruit,1 oz, Orange Juice,1 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Add brandied cherry.,Cocktail Glass,6
Velvet Hammer No. 2,Cocktail Classics,1 1/2 oz, Strega,1 oz, White creme de cacao,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Velvet Hammer No. 1,Cocktail Classics,1 1/2 oz, Vodka,1 oz, Creme de Cacao,1 oz, Light cream,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ulanda Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Triple Sec,1/4 oz, Anis,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Torridora Cocktail,Rum - Daiquiris,1 1/2 oz, Light Rum,1/2 oz, Coffee-flavored brandy,1 1/2 oz, half-and-half,1 oz, 151-Proof Rum,,,,,Shake first three ingredients with ice and strain into chilled cocktail glass. Top with 151-proof rum.,Cocktail Glass,6
Boston Sour,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,2 oz, Blended whiskey,1 oz, Egg White,,,,,Shake with cracked ice and strain into sour glass. Garnish with a lemon slice and a cherry.,Sour Glass,5
Three Miller Cocktail,Rum - Daiquiris,3 oz, Fresh cherry tomatoes,2 oz, Dark rum,1 oz, Fresh Lime Juice,1 oz, Simple Syrup,1 oz, Angostura Bitters,,,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bird-of-Paradise Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 oz, Egg White,1 oz, Grenadine,2 oz, Gin,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.,Highball Glass,7
