name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,instructions,glass,glass-size (oz)
Georgia Mule,Vodka,1 oz," Peach slice, skinned",1 1/2 oz, Vodka,1/2 oz, Fresh lemon juice,2 oz, Peach bitters,, Ginger beer,, Peach slice,"Muddle 1 peach slice in Collins glass. Add vodka, lemon juice, and bitters, then stir. Fill with ice and ginger beer; stir again. Garnish with a peach slice.",Collins Glass,14
Gentle Ben,Vodka,1 oz, Vodka,1 oz, Gin,1 oz, Blanco tequila, Orange juice,,," Orange wheel, maraschino cherry",,,Shake first three ingredients with ice and pour into ice-filled Collins glass. Fill with orange juice and stir. Garnish with an orange slice and a cherry.,Collins Glass,14
East India Cocktail No. 1,Brandy,1 1/2 oz, Brandy,1/2 oz, Jamaica Rum,1/2 oz, Triple Sec,1/2 oz, Pineapple Juice,1 oz, Angostura Bitters,," Lemon twist, maraschino cherry",Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist and a cherry.,Cocktail Glass,6
General Harrison's Eggnog,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,, Red wine,,,,,,,Shake with ice and strain into collins glass. Fill glass with red wine and stir. Top with nutmeg.,Collins Glass,14
Gables Collins,Vodka,1 1/2 oz, Vodka,1 oz, Creme de noyaux,1/2 oz, Fresh lemon juice,1/2 oz, Pineapple Juice,, Soda water,," Lemon wheel, pineapple chunk",Shake first four ingredients with ice and strain into ice-filled Collins glass. Fill with soda water. Garnish with a lemon slice and a pineapple slice.,Collins Glass,14
Frozen Brandy and Rum,Cocktail Classics,1 1/2 oz, Brandy,1 oz, Light Rum,1 oz, Lemon Juice,1 oz, Egg Yolk,1 oz, Powdered Sugar,,,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6
Frozen Apple,Cocktail Classics,1 1/2 oz, Applejack,1 oz, Lime Juice,1 oz, Sugar,1/2 oz, Egg White,,,,,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6
Frisky Witch,Vodka,1 oz, Vodka,1 oz, Sambuca,, Black licorice stick,,,,,,,Stir in old-fashioned glass. Add ice and stir again. Garnish with licorice.,Old-Fashioned Glass,6
Froth Blower Cocktail,Cocktail Classics,1 oz, Egg White,2 oz, Gin,1 oz, Grenadine,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
French Martini,Vodka,1 1/2 oz, Vodka,3/4 oz, Black raspberry liqueur,3/4 oz, Pineapple Juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Flatiron Martini,Vodka,1 oz, Splash triple sec,1 1/2 oz, Orange-flavored vodka,1 1/2 oz, Lillet Blanc, Orange wheel,,,,,,Swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. Stir vodka and Lillet with ice and strain into glass. Garnish with an orange slice.,Cocktail Glass,6
Favourite Cocktail,Cocktail Classics,3/4 oz, Apricot-Flavored Brandy,3/4 oz, Dry Vermouth,3/4 oz, Lemon Juice,1/4 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Electric Jam,Vodka,1 1/4 oz, Vodka,1/2 oz, Blue curacao,1 oz, Simple Syrup,1 oz, Fresh lemon juice,, Lime soda,,,Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.,Collins Glass,14
Fairy Belle Cocktail,Cocktail Classics,1 oz, Egg White,1 oz, Grenadine,3/4 oz, Apricot-Flavored Brandy,1 1/2 oz, Gin,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Duke Cocktail,Cocktail Classics,1/2 oz, Triple Sec,1 oz, Orange Juice,2 oz, Lemon Juice,1/2 oz, Maraschino,1 oz, Whole Egg,, Chilled Champagne,"Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir.",Champagne Flute,6
Dreamy Dorini Smoking Martini,Vodka,2 oz, Vodka,1/2 oz," Smoky Scotch, such as Laphroaig",4 oz, Pastis, Lemon twist,,,,,,Stir with ice and strain into a chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Dubonnet Highball,Cocktail Classics,2 oz, Dubonnet ,,ginger ale,,carbonated water,twist of lemon,,,,,,"Put Dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7
Dubonnet Fizz,Cocktail Classics,1/2 oz, Juice of Orange,1/4 oz, Juice of a Lemon,1 oz, cherry-flavored brandy,2 oz, Dubonnet,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Dubonnet Cocktail,Cocktail Classics,1 1/2 oz, Dubonnet,3/4 oz, Gin,1 oz, Orange Bitters (if desired),,,,,,,Stir with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Doctor Cook,Cocktail Classics,3/4 oz, Gin,1 oz, Lemon Juice,1 oz, Maraschino,1 oz, Egg White,,,,,Shake with ice and strain into wine glass.,Red-Wine Glass,12
Desert Sunrise,Vodka,1 1/4 oz, Vodka,1 1/2 oz, Fresh orange juice,1 1/2 oz, Pineapple Juice,1 oz, Grenadine,,,,,Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.,Collins Glass,14
Dillatini,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dry Vermouth,,,,,,,,,Stir or shake with ice and strain into cocktail glass. Garnish with a dilly bean. ,Cocktail Glass,6
Devil's Cocktail,Cocktail Classics,1/2 oz, Lemon Juice,1 1/2 oz, Port,1 1/2 oz, Dry Vermouth,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Derby Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1, Whole Egg,2 oz, Scotch,1 oz, Triple Sec,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Cubeltini,Vodka,3 oz, Cucumber slices,5,Fresh mint leaves,1 1/2 oz, Simple Syrup,2 oz, Vodka,1 oz, Fresh Lime Juice,, Fresh mint sprig,"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint.",Cocktail Glass,6
Crocodile Cooler,Vodka,1 1/2 oz, Citrus-flavored vodka,1 oz, Melon liqueur,3/4 oz, Triple Sec,3/4 oz, Simple Syrup,1 oz, Fresh lemon juice,," Lime soda, pineapple wedge, maraschino cherry or lime wheel","Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with a pineapple slice and a cherry or a lime slice. Serve with a straw.",Hurricane Glass,14
Cosmopolitan,Vodka,1 1/2 oz, Vodka,1/2 oz, Fresh Lime Juice,1/2 oz, Triple Sec,1/2 oz, Cranberry Juice,, Lime wheel,,,Shake well with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Dream Cocktail,Brandy,1 1/2 oz, Brandy,3/4 oz, Triple Sec,1 oz, Anisette,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Jean Lafitte Cocktail,Cocktail Classics,1 oz, Gin,1/2 oz, Triple Sec,1/2 oz, Anis,1 oz, Powdered Sugar,1 oz, Egg Yolk,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Japanese Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1 1/2 oz, Blended whiskey,1 oz, Port,1 oz, Egg White,,,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Garnish with a pineapple slice.,Highball Glass,7
Citronella Cooler,Vodka,1 oz, Citrus-flavored vodka,1 oz, Fresh Lime Juice,2 oz, Lemonade,1 oz, Cranberry Juice,, Lime wedge,,,Stir in Collins glass. Add ice and stir again. Squeeze and add lime.,Collins Glass,14
North Pole Cocktail,Cocktail Classics,1 oz, Egg White,1/2 oz, Lemon Juice,1/2 oz, Maraschino,1 oz, Gin,,,,,Shake with ice and strain into cocktail glass. Top with whipped cream.,Cocktail Glass,6
The Cinquecento,Vodka,1 1/2 oz, Bison grass vodka (Zubrowka),1/2 oz, Benedictine,1/2 oz, Campari,3/4 oz, Fresh grapefruit juice,1 oz, Angostura Bitters,, Grapefruit twist,Shake with ice. Strain through wire sieve into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
New Orleans Gin Fizz,Cocktail Classics,1/2 oz, Juice of a Lemon,1/2 oz, Juice of a Lime,1 oz, Powdered Sugar,1 oz, Egg White,2 oz, Gin,1 oz," Light cream, 1/2 oz",Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Napoleon,Cocktail Classics,2 oz, Gin,1/2 oz, Curacao,1/2 oz, Dubonnet,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Zombie,Rum - Daiquiris,1 oz, Gold rum,1 oz, 151-Proof Rum,1 oz, Light Rum,1 oz," each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup",2 oz, Demerara Syrup,1 oz, Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional) Garnish: Fresh mint sprig,Shake with ice and pour into chilled Collins glass. Garnish with mint.,Collins Glass,14
Kiss the Boys Goodbye,Cocktail Classics,3/4 oz, Sloe gin,3/4 oz, Brandy,1/2 oz, Egg White,1 oz, Juice of a Lemon,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
X.Y.Z. Cocktail,Rum - Daiquiris,1 oz, Light Rum,1/2 oz, Triple Sec,1/2 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
K.G.B. Cocktail,Cocktail Classics,1/2 oz, Kummel,1 1/2 oz, Gin,1/4 oz, Apricot-Flavored Brandy,1/4 oz, Lemon Juice,,,,,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Eye-Opener,Cocktail Classics,1 oz, Egg Yolk,1/2 oz, Powdered Sugar,1 oz, Anis,1 oz, Triple Sec,1 oz, White creme de cacao,2 oz, Light Rum,Shake with ice and strain into sour glass.,Sour Glass,5
Wiki Waki Woo,Rum - Daiquiris,1/2 oz, Light Rum,1/2 oz, 151-Proof Rum,1/2 oz," each Vodka, tequila blanco, triple sec",1 oz, Amaretto,1 oz," each Fresh orange juice, pineapple juice, cranberry juice",," Orange wheel, maraschino cherry","Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Garnish with an orange slice and a cherry.",Hurricane Glass,14
Elk's Own Cocktail,Cocktail Classics,1 oz, Egg White,1 1/2 oz, Blended whiskey,3/4 oz, Port,1/4 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,Shake with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Eggnog Supreme,Cocktail Classics,1 oz, Medium Eggs,1 oz, Sugar,1 1/2 oz, Whole milk,1 oz," Heavy Cream, Whipped",1 750-ml, Cognac,, Powdered Nutmeg,"Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg.",Punch Cup,3
Egg Sour,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,1/2 oz, Juice of a Lemon,2 oz, Brandy,1/4 oz, Triple Sec,,,Shake with ice and strain into old-fashioned glass.,Old-Fashioned Glass,6
White Lion Cocktail,Cocktail Classics,1 1/2 oz, Light Rum,1 oz, Fresh lemon juice,1/2 oz, Simple Syrup,1 oz, Grenadine,2 oz, Angostura Bitters,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
White Lily Cocktail,Rum - Daiquiris,3/4 oz, Light Rum,3/4 oz, Triple Sec,3/4 oz, Gin,1 oz, Anisette,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Ice Cream Flip,Rum - Daiquiris,1 oz, Whole Egg,1 oz, Maraschino,1 oz, Triple Sec,1 small Vanilla Ice Cream,,,,,,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5
Outrigger,Cocktail Classics,1 oz, Peach-flavored brandy,1 oz, Lime Vodka,1 oz, Pineapple Juice,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Opera Cocktail,Cocktail Classics,1 oz, Maraschino,1/2 oz, Dubonnet,1 1/2 oz, Gin,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Virginia Dare,Rum - Daiquiris,2 oz, Ripe pear,2 oz, Dark rum,1/2 oz, Benedictine,2 oz, Angostura Bitters,,,,,Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with a pear slice.,Cocktail Glass,6
Opening Cocktail,Cocktail Classics,1/2 oz, Grenadine,1/2 oz, Sweet Vermouth,1 1/2 oz, Blended whiskey,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Queen Bee,Cocktail Classics,1 1/2 oz, Lime Vodka,1 oz, Coffee-flavored brandy,1/2 oz, Cream sherry,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Van Vleet,Rum - Daiquiris,3 oz, Light Rum,1 oz, Maple Syrup,1 oz, Fresh lemon juice,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Zaza Cocktail,Cocktail Classics,1 1/2 oz, Gin,3/4 oz, Dubonnet,,,,,,,,,Stir with ice and strain into cocktail glass. Garnish with an orange twist,Cocktail Glass,6
The Vacation Cocktail,Rum - Daiquiris,1 oz, Peeled and chopped fresh ginger,3/4 oz, Fresh Lime Juice,1/2 oz," each Simple Syrup, light rum, dark rum",1 oz, Mango juice,1/2 oz," each Cranberry Juice, orange juice, spiced rum",, Mango slice,"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and top with spiced rum. Garnish with a mango slice.",Cocktail Glass,6
Dolores,Brandy,1 oz," Brandy, preferably Spanish",1 oz, Cherry liqueur,1 oz, White or dark creme de cacao,1 oz, Egg White,, Freshly grated nutmeg,,,Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.,Champagne Flute,6
Vesuvio,Cocktail Classics,1 oz, Light Rum,1/2 oz, Juice of a Lemon,1 oz, Powdered Sugar,1/2 oz, Egg White,1/2 oz, Sweet Vermouth,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Urban Anxiety,Rum,1 oz, Cachaca,1 oz, Sweet Vermouth,3/4 oz, Cynar,2 oz, Angostura Bitters,," Grapefruit twist, flamed",,,Stir with ice and strain into chilled cocktail glass. Garnish with a flamed grapefruit twist.,Cocktail Glass,6
Virgin,Cocktail Classics,1 oz, Gin,1/2 oz, White creme de menthe,1 oz, Forbidden Fruit,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
