name,glass-size (oz),category,measurement-1,unit-1,ingredient-1,measurement-2,unit-2,ingredient-2,measurement-3,unit-3,ingredient-3,measurement-4,unit-4,ingredient-4,measurement-5,unit-5,ingredient-5,measurement-6,unit-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz),Cocktail Measurment,Match
Golden Frappe,14,Cocktail Classics,1,oz, Orange Juice,2,oz, Lemon Juice,1,oz, Sugar,1,oz, Port,,,,,,,,"Stir orange juice, lemon juice, and sugar in collins glass. Add crushed ice and port.",Collins Glass,14,5,FALSE
Glass Tower,14,Vodka,2,oz, Vodka,1,oz, Peach schnapps,1,oz, White rum,1,oz, Triple Sec,1,oz, Sambuca,1,oz, Lime soda,"Orange Slice, Cherry","Pour first five ingredients into Collins glass. Add ice, then fill with lemon-lime soda and stir. Garnish with an orange slice and a cherry.",Collins Glass,14,7,FALSE
Golden Fizz,7,Cocktail Classics,0.25,oz, Juice of a Lemon,0.5,oz, Powdered Sugar,1.5,oz, Gin,1,oz, Egg Yolk,,,,,,,,Shake with ice and strain into highball glass. Fill with carbonated water.,Highball Glass,7,3.25,FALSE
Gloom Lifter,7,Cocktail Classics,1.5,oz, Blended whiskey,0.5,oz, Brandy,0.5,oz, Juice of a Lemon,1,oz, Raspberry Syrup,1,oz, Sugar,1,oz, Egg White,,Shake with ice and strain into highball glass with ice cubes.,Highball Glass,7,5.5,FALSE
Glogg,3,Cocktail Classics,50.6,oz," Wine (Port, Cream Sherry, Claret, Burgundy, or Madeira)",2,oz, Dried Orange Peel,2,oz, Cinnamon sticks,20,count,,1,oz,cloves,,,,"Almonds, Raisins","Pour the wine into a kettle. Insert cheesecloth bag containing remaining ingredients and boil slowly for 15 minutes, stirring occasionally. Add 1 lb. each blanched almonds and seedless raisins and continue to boil for additional 15 minutes. Remove kettle from stove and place wire grill containing 1 lb. lump sugar over opening. Pour one 750-ml Brandy over sugar, making sure to saturate all of it. Then light sugar with match and let it flame. After sugar has melted, replace kettle cover to extinguish flame. Stir again and remove spice bag. Serve hot in punch cups with a few almonds and raisins.",Punch Cup,3,75.6,FALSE
Georgia Peach,14,Vodka,2,oz, Vodka,0.5,oz, Peach schnapps,1,oz, Grenadine,10,oz,,,,,,,,,Stir first three ingredients in Collins glass. Add ice and stir again. Fill with lemonade.,Collins Glass,14,13.5,FALSE
Georgia Mule,14,Vodka,1,oz," Peach slice, skinned",1.5,oz, Vodka,0.5,oz, Fresh lemon juice,2,oz, Peach bitters,1,oz, Ginger beer,,,,Peach Slice,"Muddle 1 peach slice in Collins glass. Add vodka, lemon juice, and bitters, then stir. Fill with ice and ginger beer; stir again. Garnish with a peach slice.",Collins Glass,14,6,FALSE
Gentle Ben,14,Vodka,2,oz, Vodka,1,oz, Gin,1,oz, Blanco tequila,10,oz,,,,,,,,"Orange Slice, Cherry",Shake first three ingredients with ice and pour into ice-filled Collins glass. Fill with orange juice and stir. Garnish with an orange slice and a cherry.,Collins Glass,14,14,TRUE
East India Cocktail No. 1,6,Brandy,0.5,oz, Brandy,0.5,oz, Jamaica Rum,0.5,oz, Triple Sec,0.5,oz, Pineapple Juice,1,oz, Angostura Bitters,,,,"Lemon Twist, Cherry",Shake with ice and strain into chilled cocktail glass. Garnish with a lemon twist and a cherry.,Cocktail Glass,6,3,FALSE
General Harrison's Eggnog,14,Cocktail Classics,1,oz, Whole Egg,1,oz, Powdered Sugar,1,oz, Red wine,,,,,,,,,,Nutmeg,Shake with ice and strain into collins glass. Fill glass with red wine and stir. Top with nutmeg.,Collins Glass,14,3,FALSE
Gables Collins,14,Vodka,2,oz, Vodka,1,oz, Creme de noyaux,0.5,oz, Fresh lemon juice,0.5,oz, Pineapple Juice,1,oz, Soda water,,,,"Lemon Slice, Pineapple Slice",Shake first four ingredients with ice and strain into ice-filled Collins glass. Fill with soda water. Garnish with a lemon slice and a pineapple slice.,Collins Glass,14,5,FALSE
Frozen Brandy and Rum,6,Cocktail Classics,0.5,oz, Brandy,1,oz, Light Rum,1,oz, Lemon Juice,1,oz, Egg Yolk,1,oz, Powdered Sugar,,,,,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6,4.5,FALSE
Frozen Apple,6,Cocktail Classics,1.5,oz, Applejack,1,oz, Lime Juice,1,oz, Sugar,0.5,oz, Egg White,,,,,,,,Combine ingredients with a cup of crushed ice in an electric blender and blend at low speed. Pour into old-fashioned glass.,Old-Fashioned Glass,6,4,FALSE
Frisky Witch,6,Vodka,2,oz, Vodka,1,oz, Sambuca,,,,,,,,,,,,,Licorice,Stir in old-fashioned glass. Add ice and stir again. Garnish with licorice.,Old-Fashioned Glass,6,3,FALSE
Froth Blower Cocktail,6,Cocktail Classics,1,oz, Egg White,2,oz, Gin,1,oz, Grenadine,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
French Martini,6,Vodka,2,oz, Vodka,0.75,oz, Black raspberry liqueur,0.75,oz, Pineapple Juice,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.5,FALSE
Flatiron Martini,6,Vodka,1,oz, Splash triple sec,1.5,oz, Orange-flavored vodka,1.5,oz, Lillet Blanc,,,,,,,,,,Orange Slice,Swirl triple sec in chilled cocktail glass to coat inside; discard excess triple sec. Stir vodka and Lillet with ice and strain into glass. Garnish with an orange slice.,Cocktail Glass,6,4,FALSE
Favourite Cocktail,6,Cocktail Classics,0.75,oz, Apricot-Flavored Brandy,0.75,oz, Dry Vermouth,0.75,oz, Lemon Juice,0.25,oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Electric Jam,14,Vodka,2,oz, Vodka,0.5,oz, Blue curacao,1,oz, Simple Syrup,1,oz, Fresh lemon juice,1,oz, Lime soda,,,,,Pour first four ingredients into ice-filled Collins glass. Fill with lemon-lime soda and stir.,Collins Glass,14,5.5,FALSE
Fairy Belle Cocktail,6,Cocktail Classics,1,oz, Egg White,1,oz, Grenadine,0.75,oz, Apricot-Flavored Brandy,1.5,oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4.25,FALSE
Duke Cocktail,6,Cocktail Classics,0.5,oz, Triple Sec,1,oz, Orange Juice,2,oz, Lemon Juice,0.5,oz, Maraschino,1,oz, Whole Egg,1,oz, Chilled Champagne,,"Add first five ingredients, shake with ice. and strain into champagne flute. Fill with chilled champagne and stir.",Champagne Flute,6,6,TRUE
Dreamy Dorini Smoking Martini,6,Vodka,2,oz, Vodka,0.5,oz," Smoky Scotch, such as Laphroaig",4,oz, Pastis,,,,,,,,,,Lemon Twist,Stir with ice and strain into a chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,6.5,FALSE
Dubonnet Highball,7,Cocktail Classics,2,oz, Dubonnet ,3,oz,ginger ale,2,oz,carbonated water,,,,,,,,,,Lemon Twist,"Put Dubonnet in highball glass with two ice cubes and fill with ginger ale or carbonated water. Garnish with a lemon twist, if desired, and stir.",Highball Glass,7,7,TRUE
Dubonnet Fizz,7,Cocktail Classics,0.25,oz, Juice of Orange,0.25,oz, Juice of a Lemon,1,oz, cherry-flavored brandy,2,oz, Dubonnet,,,,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7,3.5,FALSE
Dubonnet Cocktail,6,Cocktail Classics,1.5,oz, Dubonnet,0.75,oz, Gin,1,oz, Orange Bitters (if desired),,,,,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6,3.25,FALSE
Doctor Cook,12,Cocktail Classics,1,oz, Gin,1,oz, Lemon Juice,1,oz, Maraschino,1,oz, Egg White,,,,,,,,Shake with ice and strain into wine glass.,Red-Wine Glass,12,4,FALSE
Desert Sunrise,14,Vodka,2,oz, Vodka,1.5,oz, Fresh orange juice,1.5,oz, Pineapple Juice,1,oz, Grenadine,,,,,,,,Pour first three ingredients over crushed ice in Collins glass. Do not stir. Top with grenadine.,Collins Glass,14,6,FALSE
Dillatini,6,Cocktail Classics,1,oz, Gin,0.75,oz, Dry Vermouth,,,,,,,,,,,,,Dilly Bean,Stir or shake with ice and strain into cocktail glass. Garnish with a dilly bean. ,Cocktail Glass,6,1.75,FALSE
Devil's Cocktail,6,Cocktail Classics,1,oz, Lemon Juice,1.5,oz, Port,1.5,oz, Dry Vermouth,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Derby Fizz,7,Cocktail Classics,0.25,oz, Juice of a Lemon,1,oz, Powdered Sugar,1,count, Whole Egg,2,oz, Scotch,1,oz, Triple Sec,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7,5.25,FALSE
Cubeltini,6,Vodka,3,oz, Cucumber slices,5,count,Fresh mint leaves,1.5,oz, Simple Syrup,2,oz, Vodka,1,oz, Fresh Lime Juice,,,,Miny,"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint.",Cocktail Glass,6,12.5,FALSE
Crocodile Cooler,14,Vodka,2,oz, Citrus-flavored vodka,1,oz, Melon liqueur,0.75,oz, Triple Sec,0.75,oz, Simple Syrup,1,oz, Fresh lemon juice,1,oz, Lime soda,"Pineapple Slice, Cherry, Lime Slice","Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with a pineapple slice and a cherry or a lime slice. Serve with a straw.",Hurricane Glass,14,6.5,FALSE
Cosmopolitan,6,Vodka,2,oz, Vodka,0.5,oz, Fresh Lime Juice,0.5,oz, Triple Sec,0.5,oz, Cranberry Juice,,,,,,,Lime Slice,Shake well with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6,3.5,FALSE
Dream Cocktail,6,Brandy,0.5,oz, Brandy,0.75,oz, Triple Sec,1,oz, Anisette,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,2.25,FALSE
Jean Lafitte Cocktail,6,Cocktail Classics,1,oz, Gin,0.5,oz, Triple Sec,0.5,oz, Anis,1,oz, Powdered Sugar,1,oz, Egg Yolk,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Japanese Fizz,7,Cocktail Classics,0.25,oz, Juice of a Lemon,1,oz, Powdered Sugar,1.5,oz, Blended whiskey,1,oz, Port,1,oz, Egg White,,,,Pineapple Slice,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Garnish with a pineapple slice.,Highball Glass,7,4.75,FALSE
Citronella Cooler,14,Vodka,2,oz, Citrus-flavored vodka,1,oz, Fresh Lime Juice,2,oz, Lemonade,1,oz, Cranberry Juice,,,,,,,Lime Slice,Stir in Collins glass. Add ice and stir again. Squeeze and add lime.,Collins Glass,14,6,FALSE
North Pole Cocktail,6,Cocktail Classics,1,oz, Egg White,0.5,oz, Lemon Juice,0.5,oz, Maraschino,1,oz, Gin,,,,,,,Whipped Cream,Shake with ice and strain into cocktail glass. Top with whipped cream.,Cocktail Glass,6,3,FALSE
The Cinquecento,6,Vodka,1.5,oz, Bison grass vodka (Zubrowka),0.5,oz, Benedictine,0.5,oz, Campari,0.75,oz, Fresh grapefruit juice,1,oz, Angostura Bitters,,,,Grapefruit Twist,Shake with ice. Strain through wire sieve into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6,4.25,FALSE
New Orleans Gin Fizz,7,Cocktail Classics,0.25,oz, Juice of a Lemon,0.5,oz, Juice of a Lime,1,oz, Powdered Sugar,1,oz, Egg White,1,oz, Gin,1,oz," Light cream, 1/2 oz",,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7,4.75,FALSE
Napoleon,6,Cocktail Classics,1,oz, Gin,0.5,oz, Curacao,0.5,oz, Dubonnet,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,2,FALSE
Zombie,14,Rum - Daiquiris,1,oz, Gold rum,1,oz, 151-Proof Rum,1,oz, Light Rum,1,oz," each Fresh Lime Juice, lemon juice, pineapple juie, and passion fruit syrup",1,oz, Demerara Syrup,1,oz, Tiki (such as Bittermen's 'Elemakule) or Angostura bitters (optional),Mint,Shake with ice and pour into chilled Collins glass. Garnish with mint.,Collins Glass,14,6,FALSE
Kiss the Boys Goodbye,6,Cocktail Classics,0.75,oz, Sloe gin,0.75,oz, Brandy,0.5,oz, Egg White,1,oz, Juice of a Lemon,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3,FALSE
X.Y.Z. Cocktail,6,Rum - Daiquiris,2,oz, Light Rum,0.5,oz, Triple Sec,0.5,oz, Fresh lemon juice,,,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3,FALSE
K.G.B. Cocktail,6,Cocktail Classics,0.5,oz, Kummel,1.5,oz, Gin,0.25,oz, Apricot-Flavored Brandy,0.25,oz, Lemon Juice,,,,,,,Lemon Twist,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6,2.5,FALSE
Eye-Opener,5,Cocktail Classics,1,oz, Egg Yolk,0.5,oz, Powdered Sugar,1,oz, Anis,1,oz, Triple Sec,1,oz, White creme de cacao,1,oz, Light Rum,,Shake with ice and strain into sour glass.,Sour Glass,5,5.5,FALSE
Wiki Waki Woo,14,Rum - Daiquiris,2,oz, Light Rum,0.5,oz, 151-Proof Rum,0.5,oz," each Vodka, tequila blanco, triple sec",1,oz, Amaretto,1,oz," each Fresh orange juice, pineapple juice, cranberry juice",,,,"Orange Slice, Cherry","Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Garnish with an orange slice and a cherry.",Hurricane Glass,14,5,FALSE
Elk's Own Cocktail,6,Cocktail Classics,1,oz, Egg White,1.5,oz, Blended whiskey,0.75,oz, Port,0.25,oz, Juice of a Lemon,1,oz, Powdered Sugar,,,,Pineapple Slice,Shake with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6,4.5,FALSE
Eggnog Supreme,3,Cocktail Classics,1,oz, Medium Eggs,1,oz, Sugar,1.5,oz, Whole milk,1,oz," Heavy Cream, Whipped",1,oz, Cognac,,,,Nutmeg,"Separate eggs; beat yolks in large serving bowl, adding sugar while beating. Stir in milk and cream. Slowly add cognac and refrigerate for 1 hour. Before serving, whip egg whites stiff. Mix into eggnog, dust with nutmeg.",Punch Cup,3,5.5,FALSE
Egg Sour,6,Cocktail Classics,1,oz, Whole Egg,1,oz, Powdered Sugar,0.5,oz, Juice of a Lemon,2,oz, Brandy,1,oz, Triple Sec,,,,,Shake with ice and strain into old-fashioned glass.,Old-Fashioned Glass,6,5.5,FALSE
White Lion Cocktail,6,Cocktail Classics,2,oz, Light Rum,1,oz, Fresh lemon juice,0.5,oz, Simple Syrup,1,oz, Grenadine,1,oz, Angostura Bitters,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,5.5,FALSE
White Lily Cocktail,6,Rum - Daiquiris,2,oz, Light Rum,0.75,oz, Triple Sec,0.75,oz, Gin,1,oz, Anisette,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4.5,FALSE
Ice Cream Flip,5,Rum - Daiquiris,1,oz, Whole Egg,1,oz, Maraschino,1,oz, Triple Sec,1,count,,,,,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,Sour Glass,5,4,FALSE
Outrigger,6,Cocktail Classics,1,oz, Peach-flavored brandy,1,oz, Lime Vodka,1,oz, Pineapple Juice,,,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,3,FALSE
Opera Cocktail,6,Cocktail Classics,1.25,oz, Maraschino,0.5,oz, Dubonnet,1.5,oz, Gin,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,3.25,FALSE
Virginia Dare,6,Rum - Daiquiris,2,oz, Ripe pear,2,oz, Dark rum,0.5,oz, Benedictine,2,oz, Angostura Bitters,,,,,,,Pear Slice,Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with a pear slice.,Cocktail Glass,6,6.5,FALSE
Opening Cocktail,6,Cocktail Classics,1,oz, Grenadine,0.5,oz, Sweet Vermouth,1.5,oz, Blended whiskey,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,3,FALSE
Queen Bee,6,Cocktail Classics,2,oz, Lime Vodka,1,oz, Coffee-flavored brandy,0.5,oz, Cream sherry,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Van Vleet,6,Rum - Daiquiris,2,oz, Light Rum,1,oz, Maple Syrup,1,oz, Fresh lemon juice,,,,,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6,4,FALSE
Zaza Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Dubonnet,,,,,,,,,,,,,Orange Twist,Stir with ice and strain into cocktail glass. Garnish with an orange twist,Cocktail Glass,6,1.75,FALSE
The Vacation Cocktail,6,Rum - Daiquiris,1,oz, Peeled and chopped fresh ginger,0.75,oz, Fresh Lime Juice,0.5,oz," each Simple Syrup, light rum, dark rum",1,oz, Mango juice,1,oz," each Cranberry Juice, orange juice, spiced rum",,,,Mango Slice,"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and top with spiced rum. Garnish with a mango slice.",Cocktail Glass,6,4.25,FALSE
Dolores,6,Brandy,1,oz," Brandy, preferably Spanish",1,oz, Cherry liqueur,1,oz, White or dark creme de cacao,1,oz, Egg White,,,,,,,Nutmeg,Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.,Champagne Flute,6,4,FALSE
Vesuvio,6,Cocktail Classics,2,oz, Light Rum,0.5,oz, Juice of a Lemon,1,oz, Powdered Sugar,0.5,oz, Egg White,1,oz, Sweet Vermouth,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,5,FALSE
Urban Anxiety,6,Rum,1,oz, Cachaca,1,oz, Sweet Vermouth,0.75,oz, Cynar,2,oz, Angostura Bitters,,,,,,,Flamed Grapefruit Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a flamed grapefruit twist.,Cocktail Glass,6,4.75,FALSE
Virgin,6,Cocktail Classics,1,oz, Gin,0.5,oz, White creme de menthe,1,oz, Forbidden Fruit,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Tropica Cocktail,14,Rum - Daiquiris,2,oz, Light Rum,3,oz, Pineapple Juice,1,oz, Fresh grapefruit juice,1,oz, Grenadine,,,,,,,Pineapple Slice,Mix ingredients in ice-filled Collins glass. Garnish with a pineapple slice.,Collins Glass,14,7,FALSE
Vermouth Cassis,7,Cocktail Classics,0.75,oz, Creme de Cassis,1.5,oz, Dry Vermouth,,,,,,,,,,,,,,Stir in highball glass with ice cubes and fill with carbonated water. Stir again and serve.,Highball Glass,7,2.25,FALSE
Verboten,6,Cocktail Classics,1,oz, Gin,1,oz, Forbidden Fruit,1,oz, Orange Juice,1,oz, Lemon Juice,,,,,,,Cherry,Shake with ice and strain into cocktail glass. Add brandied cherry.,Cocktail Glass,6,4,FALSE
Velvet Hammer No. 2,6,Cocktail Classics,0.5,oz, Strega,1,oz, White creme de cacao,1,oz, Light cream,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Velvet Hammer No. 1,6,Cocktail Classics,2,oz, Vodka,1,oz, Creme de Cacao,1,oz, Light cream,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Ulanda Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Triple Sec,0.25,oz, Anis,,,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,2,FALSE
Torridora Cocktail,6,Rum - Daiquiris,2,oz, Light Rum,0.5,oz, Coffee-flavored brandy,1.5,oz, half-and-half,1,oz, 151-Proof Rum,,,,,,,,Shake first three ingredients with ice and strain into chilled cocktail glass. Top with 151-proof rum.,Cocktail Glass,6,5,FALSE
Boston Sour,5,Cocktail Classics,0.25,oz, Juice of a Lemon,1,oz, Powdered Sugar,2,oz, Blended whiskey,1,oz, Egg White,,,,,,,"Lemon Slice, Cherry",Shake with cracked ice and strain into sour glass. Garnish with a lemon slice and a cherry.,Sour Glass,5,4.25,FALSE
Three Miller Cocktail,6,Rum - Daiquiris,3,oz, Fresh cherry tomatoes,2,oz, Dark rum,1,oz, Fresh Lime Juice,1,oz, Simple Syrup,1,oz, Angostura Bitters,,,,,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,8,FALSE
Bird-of-Paradise Fizz,7,Cocktail Classics,0.25,oz, Juice of a Lemon,1,oz, Powdered Sugar,1,oz, Egg White,1,oz, Grenadine,1,oz, Gin,,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.,Highball Glass,7,4.25,FALSE
Biffy Cocktail,6,Cocktail Classics,0.25,oz, Juice of a Lemon,1,oz, Swedish Punch,1.5,oz, Gin,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.75,FALSE
Between-The-Sheets Cocktail,6,Cocktail Classics,0.25,oz, Juice of a Lemon,0.5,oz, Brandy,0.5,oz, Triple Sec,0.5,oz, Light Rum,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,1.75,FALSE
Third-Rail Cocktail,6,Rum - Daiquiris,2,oz, Light Rum,0.75,oz, Apple Brandy,0.75,oz, Brandy,0.25,oz, Anisette,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.75,FALSE
Bentley,6,Cocktail Classics,1,oz, Apple Brandy,1,oz, Dubonnet,,,,,,,,,,,,,Lemon Twist,Stir with cracked ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,2,FALSE
Tahiti Club,6,Rum - Daiquiris,2,oz, Light Rum,0.5,oz, Fresh lemon juice,0.5,oz, Fresh Lime Juice,0.5,oz, Pineapple Juice,1,oz, Maraschino liqueur,,,,Lemon Slice,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a lemon slice.,Old-Fashioned Glass,6,4.5,FALSE
Barton Special,6,Cocktail Classics,1.5,oz, Applejack,0.25,oz, Scotch,0.25,oz, Gin,,,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,2,FALSE
Barnaby's Buffalo Blizzard,14,Cocktail Classics,1,oz, White creme de cacao,0.75,oz, Vodka,1,oz, Galliano,1,count,,1,oz, Grenadine,1,oz, Whipped cream and 3/4 oz,,Shake or blend. Serve in a collins glass.,Collins Glass,14,5.75,FALSE
Susie Taylor,14,Rum - Daiquiris,2,oz, Light Rum,0.5,oz, Fresh Lime Juice,3,oz, Ginger ale,,,,,,,,,,,Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14,5.5,FALSE
Baltimore Bracer,6,Cocktail Classics,0.5,oz, Anisette,1,oz, Brandy,1,oz, Egg White,,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.5,FALSE
Bachelor's Bait Cocktail,6,Cocktail Classics,1,oz, Gin,1,oz, Egg White,1,oz, Orange Bitters,0.5,oz, Grenadine,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Bushranger,6,Cocktail Classics,2,oz, Light Rum,1,oz, Dubonnet,1,oz, Bitters,,,,,,,,,,,Stir with cracked ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Sunset at Gowanus,6,Rum - Daiquiris,1.5,oz, Dark rum,0.75,oz, Fresh Lime Juice,0.5,oz, Maple Syrup,0.25,oz, Brandy,1,oz, Yellow Chartreuse,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4,FALSE
Bulldog Highballl,7,Cocktail Classics,0.25,oz, Juice of Orange,2,oz, Gin,,,,,,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7,2.25,FALSE
Bucks Fizz (Mimosa),14,Cocktail Classics,1,oz, Orange Juice,3,oz, Chilled Champagne,,,,,,,,,,,,,,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently.",Collins Glass,14,4,FALSE
Buckjones,7,Cocktail Classics,2,oz, Light Rum,1,oz, Sweet Sherry,0.5,oz, Juice of a Lime,,,,,,,,,,,Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.,Highball Glass,7,3.5,FALSE
Stormy Colada,7,Rum - Daiquiris,1.5,oz, Dark rum,2,oz, Pineapple Juice,3,oz, Ginger beer,,,,,,,,,,"Pineapple Slice, Mint, Candied Ginger",Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Garnish with a skewer.,Highball Glass,7,6.5,FALSE
Bronx SIlver Cocktail,5,Cocktail Classics,0.25,oz, Juice of Orange,1,oz, Egg White,0.5,oz, Dry Vermouth,1,oz, Gin,,,,,,,,Shake with ice and strain into sour glass.,Sour Glass,5,2.75,FALSE
Bronx Golden Cocktail,5,Cocktail Classics,1,oz, Gin,0.5,oz, Sweet Vermouth,0.5,oz, Dry Vermouth,0.25,oz, Orange,,,,,,,Egg Yolk,Shake with ice and strain into sour glass.,Sour Glass,5,2.25,FALSE
Stone Wall,6,Rum - Daiquiris,3,count,thin Peeled fresh ginger,0.75,oz, Demerara Syrup,1.5,oz, Fresh apple cider,1.5,oz, Light Rum,1,oz, Jamaican ginger beer,,,,"Apple Slice, Lime Slice",Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Garnish with an apple slice and a lime slice.,Old-Fashioned Glass,6,7.75,FALSE
Depth Bomb,6,Brandy,1,oz, Apple Brandy,1,oz, Brandy,1,oz, Fresh lemon juice,1,oz, Grenadine,,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6,4,FALSE
Stone Cocktail,6,Rum - Daiquiris,1,oz, Dry Sherry,0.5,oz, Light Rum,0.5,oz, Sweet Vermouth,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6,2,FALSE
Almeria,6,Cocktail Classics,1.5,oz, 17-year-old J. Wray and Nephew Ltd. Rum,1,oz, Coffee-flavored liqueur,1,oz, Egg White,,,,,,,,,,,Shake all ingredients with cracked ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Aunt Jemima,1,Cocktail Classics,0.5,oz, Brandy,0.5,oz, White creme de cacao,0.5,oz, Benedictine,,,,,,,,,,,"Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",Pousse-Cafe_ Glass,1,1.5,FALSE
Spanish Town Cocktail,6,Rum - Daiquiris,2,oz, Light Rum,0.5,oz, Triple Sec,,,,,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6,2.5,FALSE
Apricot Lady,6,Cocktail Classics,2,oz, Light Rum,1,oz, Apricot-Flavored Brandy,0.25,oz, Triple Sec,1,oz, Lime Juice,1,oz, Egg White,,,,Orange Slice,Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Garnish with an orange slice.,Old-Fashioned Glass,6,5.25,FALSE
