name,glass-size (oz),category,measurement-1,unit-1,ingredient-1,measurement-2,unit-2,ingredient-2,measurement-3,unit-3,ingredient-3,measurement-4,unit-4,ingredient-4,measurement-5,unit-5,ingredient-5,measurement-6,unit-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz),Cocktail Measurment,Match
Hotel D'alsace,6,Whiskies,1,oz, Fresh rosemary sprig,2,oz, Irish Whiskey,0.5,oz, Benedictine,0.5,oz, Triple Sec,,,,,,,Rosemary,Muddle leaves from half-sprig of rosemary in mixing glass and reserve the other half. Add remaining ingredients. Stir with ice and strain into ice-filled old-fashioned glass. Garnish with rosemary.,Old-Fashioned Glass,6,4,FALSE
Jamaica Granito,14,Brandy,0.5,oz, Brandy,1,oz, Triple Sec,1,oz, Lemon or Orange Sherbet,6,oz,,,,,,,,Nutmeg,Add first three ingredients to Collins glass. Add soda water. Top with nutmeg.,Collins Glass,14,8.5,FALSE
Gin Sling,6,Cocktail Classics,1,oz, Powdered Sugar,1,oz, Water,0.5,oz, Juice of a Lemon,2,oz, Gin,,,,,,,Orange Twist,Dissolve sugar in water and lemon juice. Add gin. Pour into old-fashioned glass over ice cubes and stir. Garnish with an orange twist,Old-Fashioned Glass,6,4.5,FALSE
Gin Milk Punch,14,Cocktail Classics,1,oz, Powdered Sugar,2,oz, Gin,1,oz, Milk,1,tsp,,,,,,,,Nutmeg,"Shake with ice, strain into collins glass, and top with nutmeg.",Collins Glass,14,5,FALSE
Horse's Neck (With A Kick),14,Whiskies,1,oz, Wide spiral of lemon zest,2,oz, Bourbon whiskey,1,oz, Ginger ale,1,oz,,,,,,,,Lemon Twist,Fill Collins glass with ice cubes. Add whiskey. Fill with ginger ale and stir well. Garnish with lemon twist.,Collins Glass,14,5,FALSE
Gin and It,6,Cocktail Classics,1,oz, Gin,1,oz, Sweet Vermouth,,,,2,oz,,,,,,,,,Stir ingredients in cocktail glass. (No ice is used in this drink.),Cocktail Glass,6,4,FALSE
Gin Cocktail,6,Cocktail Classics,1,oz, Gin,2,oz, Bitters,,,,4,count,,,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,7,FALSE
West Side,6,Vodka,1.5,oz, lemon-flavored vodka,0.75,oz, Fresh lemon juice,0.5,oz, Simple Syrup,1,oz,,,,,,,,,Shake first four ingredients with ice and double-strain into chilled cocktail glass. Top with a splash of soda water.,Cocktail Glass,6,3.75,FALSE
Gimlet ,6,Cocktail Classics,1,oz, Lime Juice,1,oz, Powdered Sugar,1.5,oz, Gin,1,oz,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,4.5,FALSE
Free Silver,14,Cocktail Classics,0.25,oz, Juice of a Lemon,0.5,oz, Powdered Sugar,1.5,oz, Gin,0.5,oz, Dark rum,1,oz, Milk,1,oz, Club Soda,,Shake with ice and strain into collins glass over ice cubes. Fill with club soda.,Collins Glass,14,4.75,FALSE
Frankenjack Cocktail,6,Cocktail Classics,1,oz, Gin,0.75,oz, Dry Vermouth,0.5,oz, Apricot Flavored Brandy,1,oz, Triple Sec,1,oz, Juice of a Lime,1.5,oz, Gin & ginger ale,Cherry,Stir with ice and strain into cocktail glass. Garnish with a cherry.,Cocktail Glass,6,5.75,FALSE
Fog Horn,7,Cocktail Classics,1,oz, Juice of a Lime,1.5,oz, Gin & ginger ale,2,oz, Gin,1,oz, Triple Sec,,,,,,,Lime Slice,Pour into highball glass over ice cubes. Fill with ginger ale. Stir. Garnish with a lime slice.,Highball Glass,7,5.5,FALSE
Flying Dutchman,6,Cocktail Classics,1,oz, Gin,1,oz, Triple Sec,,,,1,count,,,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6,3,FALSE
Hoot Mon Cocktail,6,Whiskies,1.5,oz, Blended Scotch Whiskey,0.75,oz, Sweet Vermouth,1,oz, Benedictine,1,oz,,,,,,,,Lemon Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,4.25,FALSE
Fifty-Fifty Cocktail,6,Cocktail Classics,1,oz, Gin,1.5,oz, Dry Vermouth,,,,3,oz,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,5.5,FALSE
Favorite Cocktail,6,Cocktail Classics,1.5,oz, Apricot Flavored Brandy,0.75,oz, Dry Vermouth,0.75,oz, Gin,0.25,oz, Lemon Juice,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,3.25,FALSE
Farmer's Cocktail,6,Cocktail Classics,1,oz, Gin,0.5,oz, Dry Vermouth,0.5,oz, Sweet Vermouth,2,oz, Bitters,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,4,FALSE
Warsaw Cocktail,6,Vodka,2,oz, Vodka,0.5,oz, Blackberry-flavored brandy,0.5,oz, Dry Vermouth,1,oz, Fresh lemon juice,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,4,FALSE
Emerald Isle Cocktail,6,Cocktail Classics,1,oz, Gin,1,oz, Green creme de menthe,3,oz, Bitters,1,oz,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,6,TRUE
Du Barry Cocktail,6,Cocktail Classics,1,oz, Bitters,0.75,oz, Dry Vermouth,0.5,oz, Anisette,1.5,oz, Gin,,,,,,,Orange Slice,Stir with ice and strain into cocktail glass. Garnish with an orange slice.,Cocktail Glass,6,3.75,FALSE
Dry Martini (5-to-1),6,Cocktail Classics,1,oz, Gin,0.33,oz, Dry Vermouth,,,,3,oz,,,,,,,,"Lemon Twist, Olive","Stir vermouth and gin over ice cubes in mixing glass. Strain into cocktail glass. Garnish with a lemon twist or an olive, if desired.",Cocktail Glass,6,4.33,FALSE
Dixie Cocktail,6,Cocktail Classics,0.25,oz, Juice of Orange,1,oz, Anisette,0.5,oz, Dry Vermouth,1,oz, Gin,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6,2.75,FALSE
Delmonico No. 2,6,Cocktail Classics,1,oz, Orange Bitters,1,oz, Dry Vermouth,1.5,oz, Gin,1,oz,,,,,,,,Lemon Twist,Stir with ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6,4.5,FALSE
Hole-In-One,6,Whiskies,1.75,oz,Blended Scotch Whiskey,0.75,oz, Dry Vermouth,0.25,oz, Fresh lemon juice,1,oz, Orange Bitters,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,3.75,FALSE
Vodka Stinger,6,Vodka,2,oz, Vodka,1,oz, White creme de menthe,,,,4,count,,,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6,7,FALSE
Caruso,6,Cocktail Classics,1,oz, Gin,1,oz, Dry Vermouth,0.5,oz, Green creme de menthe,1,oz,,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6,3.5,FALSE
Bulldog Highball,7,Cocktail Classics,0.25,oz, Juice of Orange,2,oz, Gin,4,oz, Ginger ale,1,count,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7,7.25,FALSE
