name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Jackie-O,Vodka,,,.5 oz, each Citrus-flavored vodka and orange-flavored vodka,,.5 oz,1 oz, Apricot nectar,.5 oz, each  lemon juice and cranberry juice,," Chilled Champagne,  Orange half-wheel, lime wheel","Orange Slice, Lime Slice, Sugar",Rim chilled large cocktail glass with lime wedge and pink sugar. Shake first six ingredients with ice and strain into glass. Top with Champagne. Garnish with an orange slice and a lime slice.,Cocktail Glass,6
Tropical Heart,Cocktail Classics,1 oz, Hot Shot Tropical Fruit Liqueur,, Hot Apple Cider,,,,,,,,,Cinnamon Stick,Pour ingredients into Irish coffee cup and stir. Garnish with a cinnamon stick.,irish_coffee,8
Trois Rivieres,Cocktail Classics,1.5 oz, Canadian whisky,1 oz, Dubonnet,,1.5 oz,,,,,,,Orange Twist,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with an orange twist,Old-Fashioned Glass,6
Tovarich Cocktail,Cocktail Classics,1.5 oz, Vodka,.75 oz, Kummel,,.5 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Italian Screwdriver,Vodka,,,1.5 oz, Citrus-flavored vodka,,3 oz,2 oz, Grapefruit Juice,1 oz, Ginger ale,,,Lime Slice,Rim hurricane glass with lime wedge and sugar; fill with ice. Shake remaining ingredients with ice. Strain into glass. Garnish with a lime slice.,hurricane,14
T.N.T. Cocktail No. 2,Cocktail Classics,1 oz, Tequila,, Tonic,,,,,,,,,,Mix with ice in an old-fashioned glass.,Old-Fashioned Glass,6
T.N.T. Cocktail No. 1,Cocktail Classics,1.5 oz, Blended whiskey,1.5 oz, Anis,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ibiza,Vodka,1 oz, Orange-flavored vodka,.5 oz, Campari,,1 oz,1 oz, Pomegranate molasses,1 oz, Peach schnapps,1 oz, Apple schnapps,Grapefruit Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
Thunder,Cocktail Classics,1 oz, Powdered Sugar,1 oz, Egg Yolk,,1.5 oz,1 oz, Cayenne Pepper,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Huntsman Cocktail,Vodka,1.5 oz, Vodka,.5 oz, Jamaica Rum,,.5 oz,.5 oz, Simple Syrup,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
