name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,special ingredients,instructions,glass,glass-size (oz)
Derby Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,1,2 oz,1 oz, Triple Sec,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Cubeltini,Vodka,3 oz, Cucumber slices,5, mint leaves,,,1.5 oz,2 oz,1 oz,  Lime Juice,,,Miny,"Muddle the cucumber, mint leaves, and syrup. Add vodka and lime juice. Shake and strain into chilled cocktail glass. Garnish with mint.",Cocktail Glass,6
Crocodile Cooler,Vodka,1.5 oz, Citrus-flavored vodka,1 oz, Melon liqueur,,,.75 oz,.75 oz,1 oz,  lemon juice,,,"Pineapple Slice, Cherry, Lime Slice","Stir first five ingredients in hurricane glass. Add ice, fill with lemonlime soda, and stir again. Garnish with a pineapple slice and a cherry or a lime slice. Serve with a straw.",hurricane,14
Cosmopolitan,Vodka,1.5 oz, Vodka,.5 oz,  Lime Juice,,,.5 oz,.5 oz,,,,,Lime Slice,Shake well with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Dream Cocktail,Brandy,1.5 oz, Brandy,.75 oz, Triple Sec,,,1 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Jean Lafitte Cocktail,Cocktail Classics,1 oz, Gin,.5 oz, Triple Sec,,,.5 oz,1 oz,1 oz, Egg Yolk,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Japanese Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,1.5 oz,1 oz,1 oz, Egg White,,,Pineapple Slice,Shake with ice and strain into highball glass over two cubes of ice. Fill with carbonated water and stir. Garnish with a pineapple slice.,Highball Glass,7
Citronella Cooler,Vodka,1 oz, Citrus-flavored vodka,1 oz,  Lime Juice,,,2 oz,1 oz,,,,,Lime Slice,Stir in Collins glass. Add ice and stir again. Squeeze and add lime.,Collins Glass,14
North Pole Cocktail,Cocktail Classics,1 oz, Egg White,.5 oz, Lemon Juice,,,.5 oz,1 oz,,,,,Whipped Cream,Shake with ice and strain into cocktail glass. Top with whipped cream.,Cocktail Glass,6
The Cinquecento,Vodka,1.5 oz, Bison grass vodka (Zubrowka),.5 oz, Benedictine,,,.5 oz,.75 oz,1 oz, Angostura Bitters,,,Grapefruit Twist,Shake with ice. Strain through wire sieve into chilled cocktail glass. Garnish with a grapefruit twist.,Cocktail Glass,6
New Orleans Gin Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,.5 oz, Juice of a Lime,,,1 oz,1 oz,2 oz, Gin,,1 oz,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water and stir.,Highball Glass,7
Napoleon,Cocktail Classics,2 oz, Gin,.5 oz, Curacao,,,.5 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Zombie,Rum - Daiquiris,1 oz, Gold rum,1 oz, 151-Proof Rum,,,1 oz,1 oz,2 oz, Demerara Syrup,,1 oz,Mint,Shake with ice and pour into chilled Collins glass. Garnish with mint.,Collins Glass,14
Kiss the Boys Goodbye,Cocktail Classics,.75 oz, Sloe gin,.75 oz, Brandy,,,.5 oz,1 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
X.Y.Z. Cocktail,Rum - Daiquiris,1 oz, Light Rum,.5 oz, Triple Sec,,,.5 oz,,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
K.G.B. Cocktail,Cocktail Classics,.5 oz, Kummel,1.5 oz, Gin,,,.25 oz,.25 oz,,,,,Lemon Twist,Shake with ice and strain into cocktail glass. Garnish with a lemon twist,Cocktail Glass,6
Eye-Opener,Cocktail Classics,1 oz, Egg Yolk,.5 oz, Powdered Sugar,,,1 oz,1 oz,1 oz, White creme de cacao,,2 oz,,Shake with ice and strain into sour glass.,sour,5
Wiki Waki Woo,Rum - Daiquiris,.5 oz, Light Rum,.5 oz, 151-Proof Rum,,,.5 oz,1 oz,1 oz," each  orange juice, pineapple juice, cranberry juice",,,"Orange Slice, Cherry","Stir all ingredients with ice. Pour, with ice, into hurricane or parfait glass. Garnish with an orange slice and a cherry.",hurricane,14
Elk's Own Cocktail,Cocktail Classics,1 oz, Egg White,1.5 oz, Blended whiskey,,,.75 oz,.25 oz,1 oz, Powdered Sugar,,,Pineapple Slice,Shake with ice and strain into cocktail glass. Garnish with a pineapple slice.,Cocktail Glass,6
Egg Sour,Cocktail Classics,1 oz, Whole Egg,1 oz, Powdered Sugar,,,.5 oz,2 oz,.25 oz, Triple Sec,,,,Shake with ice and strain into old-fashioned glass.,Old-Fashioned Glass,6
White Lion Cocktail,Cocktail Classics,1.5 oz, Light Rum,1 oz,  lemon juice,,,.5 oz,1 oz,2 oz, Angostura Bitters,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
White Lily Cocktail,Rum - Daiquiris,.75 oz, Light Rum,.75 oz, Triple Sec,,,.75 oz,1 oz,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Ice Cream Flip,Rum - Daiquiris,1 oz, Whole Egg,1 oz, Maraschino,,,1 oz,1 small Vanilla Ice Cream,,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Outrigger,Cocktail Classics,1 oz, Peach-flavored brandy,1 oz, Lime Vodka,,,1 oz,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Opera Cocktail,Cocktail Classics,1 oz, Maraschino,.5 oz, Dubonnet,,,1.5 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Virginia Dare,Rum - Daiquiris,2 oz, Ripe pear,2 oz, Dark rum,,,.5 oz,2 oz,,,,,Pear Slice,Muddle 1 pear slice in mixing glass. Add remaining ingredients. Shake with ice and strain through a fine wire sieve into chilled cocktail glass. Garnish with a pear slice.,Cocktail Glass,6
Opening Cocktail,Cocktail Classics,.5 oz, Grenadine,.5 oz, Sweet Vermouth,,,1.5 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Queen Bee,Cocktail Classics,1.5 oz, Lime Vodka,1 oz, Coffee-flavored brandy,,,.5 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Van Vleet,Rum - Daiquiris,3 oz, Light Rum,1 oz, Maple Syrup,,,1 oz,,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Zaza Cocktail,Cocktail Classics,1.5 oz, Gin,.75 oz, Dubonnet,,,,,,,,,Orange Twist,Stir with ice and strain into cocktail glass. Garnish with an orange twist,Cocktail Glass,6
The Vacation Cocktail,Rum - Daiquiris,1 oz, Peeled and chopped  ginger,.75 oz,  Lime Juice,,,.5 oz,1 oz,.5 oz," each Cranberry Juice, orange juice, spiced rum",,,Mango Slice,"Muddle ginger, lime juice, and syrup in mixing glass. Add all but spiced rum. Shake with ice. Strain into chilled cocktail glass and top with spiced rum. Garnish with a mango slice.",Cocktail Glass,6
Dolores,Brandy,1 oz," Brandy, preferably Spanish",1 oz, Cherry liqueur,,,1 oz,1 oz,,,,,Nutmeg,Shake without ice. shake with ice and strain into a chilled champagne flute. Top with nutmeg.,champagne_flute,6
Vesuvio,Cocktail Classics,1 oz, Light Rum,.5 oz, Juice of a Lemon,,,1 oz,.5 oz,.5 oz, Sweet Vermouth,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Urban Anxiety,Rum,1 oz, Cachaca,1 oz, Sweet Vermouth,,,.75 oz,2 oz,,,,,Flamed Grapefruit Twist,Stir with ice and strain into chilled cocktail glass. Garnish with a flamed grapefruit twist.,Cocktail Glass,6
Virgin,Cocktail Classics,1 oz, Gin,.5 oz, White creme de menthe,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Tropica Cocktail,Rum - Daiquiris,2 oz, Light Rum,3 oz, Pineapple Juice,,,1 oz,1 oz,,,,,Pineapple Slice,Mix ingredients in ice-filled Collins glass. Garnish with a pineapple slice.,Collins Glass,14
Vermouth Cassis,Cocktail Classics,.75 oz, Creme de Cassis,1.5 oz, Dry Vermouth,,,,,,,,,,Stir in highball glass with ice cubes and fill with carbonated water. Stir again and serve.,Highball Glass,7
Verboten,Cocktail Classics,1.5 oz, Gin,1 oz, Forbidden Fruit,,,1 oz,1 oz,,,,,Cherry,Shake with ice and strain into cocktail glass. Add brandied cherry.,Cocktail Glass,6
Velvet Hammer No. 2,Cocktail Classics,1.5 oz, Strega,1 oz, White creme de cacao,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Velvet Hammer No. 1,Cocktail Classics,1.5 oz, Vodka,1 oz, Creme de Cacao,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Ulanda Cocktail,Cocktail Classics,1.5 oz, Gin,.75 oz, Triple Sec,,,.25 oz,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Torridora Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,.5 oz, Coffee-flavored brandy,,,1.5 oz,1 oz,,,,,,Shake first three ingredients with ice and strain into chilled cocktail glass. Top with 151-proof rum.,Cocktail Glass,6
Boston Sour,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,2 oz,1 oz,,,,,"Lemon Slice, Cherry",Shake with cracked ice and strain into sour glass. Garnish with a lemon slice and a cherry.,sour,5
Three Miller Cocktail,Rum - Daiquiris,3 oz,  cherry tomatoes,2 oz, Dark rum,,,1 oz,1 oz,1 oz, Angostura Bitters,,,,Muddle tomatoes in mixing glass. Add remaining ingredients. Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bird-of-Paradise Fizz,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Powdered Sugar,,,1 oz,1 oz,2 oz, Gin,,,,Shake with ice and strain into highball glass over two ice cubes. Fill with carbonated water.,Highball Glass,7
Biffy Cocktail,Cocktail Classics,.5 oz, Juice of a Lemon,1 oz, Swedish Punch,,,1.5 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Between-The-Sheets Cocktail,Cocktail Classics,.25 oz, Juice of a Lemon,.5 oz, Brandy,,,.5 oz,.5 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Third-Rail Cocktail,Rum - Daiquiris,.75 oz, Light Rum,.75 oz, Apple Brandy,,,.75 oz,.25 oz,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bentley,Cocktail Classics,1.5 oz, Apple Brandy,1 oz, Dubonnet,,,,,,,,,Lemon Twist,Stir with cracked ice and strain into cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Tahiti Club,Rum - Daiquiris,2 oz, Light Rum,.5 oz,  lemon juice,,,.5 oz,.5 oz,.25 oz, Maraschino liqueur,,,Lemon Slice,Shake with ice and strain into ice-filled old-fashioned glass. Garnish with a lemon slice.,Old-Fashioned Glass,6
Barton Special,Cocktail Classics,.5 oz, Applejack,.25 oz, Scotch,,,.25 oz,,,,,,,Shake with ice and strain into old-fashioned glass over ice cubes.,Old-Fashioned Glass,6
Barnaby's Buffalo Blizzard,Cocktail Classics,1 oz, White creme de cacao,.75 oz, Vodka,,,1 oz, Vanilla Ice Cream,1 oz, Grenadine,,,,Shake or blend. Serve in a collins glass.,Collins Glass,14
Susie Taylor,Rum - Daiquiris,2 oz, Light Rum,.5 oz,  Lime Juice,,,,,,,,,,Pour rum and lime juice into ice-filled Collins glass. Fill with ginger ale and stir.,Collins Glass,14
Baltimore Bracer,Cocktail Classics,1 oz, Anisette,1 oz, Brandy,,,1 oz,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Bachelor's Bait Cocktail,Cocktail Classics,1.5 oz, Gin,1 oz, Egg White,,,1 oz,.5 oz,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Bushranger,Cocktail Classics,1.5 oz, Light Rum,1 oz, Dubonnet,,,1 oz,,,,,,,Stir with cracked ice and strain into cocktail glass.,Cocktail Glass,6
Sunset at Gowanus,Rum - Daiquiris,2 oz, Dark rum,.75 oz,  Lime Juice,,,.5 oz,.25 oz,.25 oz, Yellow Chartreuse,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Bulldog Highballl,Cocktail Classics,.5 oz, Juice of Orange,2 oz, Gin,,,,,,,,,,Pour into highball glass over ice cubes and fill with ginger ale. Stir.,Highball Glass,7
Bucks Fizz (Mimosa),Cocktail Classics,2 oz, Orange Juice,, Chilled Champagne,,,,,,,,,,"Pour 2 oz. orange juice in a collins glass over two cubes of ice, fill with Chilled Champagne, and stir very gently.",Collins Glass,14
Buckjones,Cocktail Classics,1.5 oz, Light Rum,1 oz, Sweet Sherry,,,.5 oz,,,,,,,Pour ingredients into highball glass over ice cubes and stir. Fill with ginger ale.,Highball Glass,7
Stormy Colada,Rum - Daiquiris,2 oz, Dark rum,2 oz, Pineapple Juice,,,,,,,,,"Pineapple Slice, Mint, Candied Ginger",Add rum and pineapple juice to ice-filled highball glass. Fill with ginger beer and stir. Garnish with a skewer.,Highball Glass,7
Bronx SIlver Cocktail,Cocktail Classics,.5 oz, Juice of Orange,1 oz, Egg White,,,.5 oz,1 oz,,,,,,Shake with ice and strain into sour glass.,sour,5
Bronx Golden Cocktail,Cocktail Classics,1 oz, Gin,.5 oz, Sweet Vermouth,,,.5 oz,.25 oz,,,,,Egg Yolk,Shake with ice and strain into sour glass.,sour,5
Stone Wall,Rum - Daiquiris,3 slices,thin Peeled  ginger,.75 oz, Demerara Syrup,,,1.5 oz,1.5 oz,, Jamaican ginger beer,,,"Apple Slice, Lime Slice",Muddle ginger and syrup in mixing glass. Add cider and rum and shake with ice. Strain into ice-filled old-fashioned glass and fill with ginger beer. Garnish with an apple slice and a lime slice.,Old-Fashioned Glass,6
Depth Bomb,Brandy,1 oz, Apple Brandy,1 oz, Brandy,,,1 oz,1 oz,,,,,,Shake with ice and strain into ice-filled old-fashioned glass.,Old-Fashioned Glass,6
Stone Cocktail,Rum - Daiquiris,1 oz, Dry Sherry,.5 oz, Light Rum,,,.5 oz,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Almeria,Cocktail Classics,1.5 oz, 17-year-old J. Wray and Nephew Ltd. Rum,1 oz, Coffee-flavored liqueur,,,1 oz,,,,,,,Shake all ingredients with cracked ice and strain into cocktail glass.,Cocktail Glass,6
Aunt Jemima,Cocktail Classics,.5 oz, Brandy,.5 oz, White creme de cacao,,,.5 oz,,,,,,,"Pour carefully, in order given, into a pousse-cafe glass so that ingredients do not mix.",pousse_cafe,1
Spanish Town Cocktail,Rum - Daiquiris,2 oz, Light Rum,.5 oz, Triple Sec,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Apricot Lady,Cocktail Classics,1.25 oz, Light Rum,1 oz, Apricot-Flavored Brandy,,,.25 oz,1 oz,1 oz, Egg White,,,Orange Slice,Shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Garnish with an orange slice.,Old-Fashioned Glass,6
Apricot Anise Collins,Cocktail Classics,1.5 oz, Gin,.5 oz, Apricot-Flavored Brandy,,,1.5 oz,1 oz,,,,,Lemon Slice,Shake with ice and strain into Collins glass over ice. Fill with carbonated water and stir lightly. Garnish with a lemon slice.,Collins Glass,14
Apple Rum Rickey,Cocktail Classics,.75 oz, Applejack,.75 oz, Light Rum,,,.25 oz,,,,,,Lime Slice,Pour applejack and rum into highball glass over ice cubes. Fill with carbonated water. Squeeze lime and drop into glass. Stir.,Highball Glass,7
Sloppy Joe's Cocktail No. 1,Rum - Daiquiris,.75 oz, Light Rum,.75 oz, Dry Vermouth,,,.5 oz,1 oz,.5 oz, Grenadine,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Brandy Flip,Cocktail Classics,1,Whole Egg,1 oz, Powdered Sugar,,,1.5 oz,2 oz,,,,,Nutmeg,Shake with ice and strain into sour glass. Top with nutmeg.,sour,5
Sir Walter Cocktail,Rum - Daiquiris,.75 oz, Light Rum,.75 oz, Brandy,,,1 oz,1 oz,1 oz,  lemon juice,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Saxon Cocktail,Rum - Daiquiris,1.75 oz, Light Rum,.5 oz,  Lime Juice,,,.5 oz, Orange twist,,,,,Orange Twist,Shake with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Boston Bullet,Cocktail Classics,1.5 oz, Gin,.75 oz, Dry Vermouth,,,,,,,,,Olive,Stir or shake with ice and strain into cocktail glass.  Garnish with an olive stuff with an almond.,Cocktail Glass,6
Sargasso,Rum - Daiquiris,2 oz, Aged rhum agricole,.75 oz, Dry Sherry,,.5 oz,2 oz, Angostura Bitters,,,,,Orange Twist,Stir with ice and strain into chilled cocktail glass. Garnish with an orange twist.,Cocktail Glass,6
Santiago Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,1 oz,  Lime Juice,,.5 oz,.5 oz, Grenadine,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Black Velvet,Cocktail Classics,5 oz, Chilled Stout,5 oz, Chilled Champagne,,,,,,,,,,"Pour very carefully, in order given, into champagne flute so that the stout and champagne don't mix. ",champagne_flute,6
Saint Lucy Bracer,Rum - Daiquiris,2 oz, Dark rum,.5 oz, Butterscotch schnapps,,.5 oz,2 oz, Angostura Bitters,,,,,Edible Flowers,Stir with ice and strain into chilled cocktail glass. Garnish with edible flowers.,Cocktail Glass,6
Applecar,Cocktail Classics,1 oz, Applejack,1 oz, Triple Sec,,1 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Apple Blow Fizz,Cocktail Classics,1 oz, Egg White,.5 oz, Juice of a Lemon,,1 oz,2 oz, Apple Brandy,,,,,,Shake with ice and strain into highball glass with two ice cubes. Fill with carbonated water.,Highball Glass,7
Antoine Special,Cocktail Classics,1.5 oz, Dubonnet,1.5 oz, Dry Vermouth,,,,,,,,,,Float vermouth on top of chilled Dubonnet in a wine glass.,poco_grande,12
Ante,Cocktail Classics,1 oz, Apple Brandy,.5 oz, Triple Sec,,1 oz,,,,,,,,Stir well with cracked ice and strain into cocktail glass.,Cocktail Glass,6
S & V,Rum - Daiquiris,1.5 oz, Light Rum,.5 oz, Creole Shrubb (rum-based orange liqueur),,.5 oz,.5 oz,  Lime Juice,,,,,Lime Slice,Shake with ice and strain into chilled cocktail glass. Garnish with a lime slice.,Cocktail Glass,6
Rum Toddy (Cold),Rum - Daiquiris,2 oz, Light or dark rum,.5 oz, Water,,1 oz,,,,,,.5 oz,Lemon Twist,"Stir rum, water, and syrup in old-fashioned glass. Add large cube of ice. Garnish with a lemon twist.",Old-Fashioned Glass,6
Deauville Cocktail,Brandy,.5 oz, Brandy,.5 oz, Apple Brandy,,.5 oz,.5 oz,  lemon juice,,,,1 oz,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Allies Cocktail,Cocktail Classics,1 oz, Dry Vermouth,1 oz, Gin,,.5 oz,,,,,,,,Stir with ice and strain into cocktail glass.,Cocktail Glass,6
Rum Swizzle,Rum - Daiquiris,2 oz, Light or dark rum,1 oz,  Lime Juice,,.5 oz,2 oz, Angostura Bitters,, Soda water,,,,"Combine first four ingredients in ice-filled Collins glass. With bar spoon between your palms, move hands back and forth and up and down to quickly rotate and lift spoon, until glass is frosted. Top with soda water. Serve with a swizzle stick.",Collins Glass,14
A. J.,Cocktail Classics,1.5 oz, Applejack,1 oz, Grapefruit Juice,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
After Supper Cocktail,Cocktail Classics,1 oz, Apricot-Flavored Brandy,1 oz, Triple Sec,,.5 oz,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Rum Sour,Rum - Daiquiris,2 oz, Light Rum,.75 oz,  lemon juice,,.75 oz,,,,,,,"Lemon Slice, Cherry",Shake with ice and strain into chilled sour glass. Garnish with a lemon slice and a cherry.,champagne_extra_fluted,2
Acapulco,Cocktail Classics,1.5 oz, Light Rum,1 oz, Lime Juice,,1.5 oz,1 oz, Sugar,1, Egg White,,,Mint,Combine and shake all ingredients with ice and strain into old-fashioned glass over ice cubes. Garnish with mint.,Old-Fashioned Glass,6
Absinthe Drip Cocktail,Cocktail Classics,1.5 oz, Anis,1 oz, Sugar,,,,,,,,,Sugar,"Pour Anis into special drip glass or old-fashioned cocktail glass. Place sugar cube over hole of drip spoon (or in silver tea strainer). Pack spoon or strainer with cracked ice, pour cold water to fill. When water has dripped through, drink is ready.",Old-Fashioned Glass,6
Ambrosia,Cocktail Classics,1 oz, Applejack,1 oz, Brandy,,,1 oz,Lemon Juice,, Chilled Champagne,,,,Shake all ingredients except champagne. Pour contents into highball glass with cubed ice. Fill with chilled champagne.,Highball Glass,7
Rum Screwdriver,Rum - Daiquiris,1.5 oz, Light Rum,5 oz, Orange juice,,,,,,,,,,Stir rum and orange juice in ice-filled highball glass.,Highball Glass,7
Rum Rickey,Rum - Daiquiris,1.5 oz, Light Rum,.5 oz,  Lime Juice,,,,,,,,,Lime Slice,Pour rum and lime juice into ice-filled highball glass. Fill with soda water and stir. Garnish with a lime slice.,Highball Glass,7
Scotch Cocktail,Cocktail Classics,.5 oz, Old Mr. Boston Creme de Menthe (White),1.5 oz, Desmond & Duff Scotch Whisky,,,,,,,,,,Shake with ice and strain into cocktail glass.,Cocktail Glass,6
Rum Relaxer,Rum - Daiquiris,1.5 oz, Light Rum,1 oz, Pineapple Juice,,,.5 oz, Lemon-lime soda,,,,,"Orange Slice, Cherry",Shake first three ingredients with ice and pour with ice into hurricane or parfait glass. Fill glass with lemon-lime soda. Garnish with an orange slice and a cherry.,hurricane,14
Rum Old-Fashioned,Rum - Daiquiris,1.5 oz, Light Rum,1 oz, 151-Proof Rum,,,1 oz,1 oz,,,,,Lemon Twist,Stir in ice-filled old-fashioned glass. Garnish with a lemon twist.,Old-Fashioned Glass,6
Rum Martini,Rum - Daiquiris,2 oz, Light Rum,1 oz, Dry Vermouth,,,,,,,,,Lemon Twist,Stir rum and vermouth with ice in mixing glass. Strain into ice-filled cocktail glass. Garnish with a lemon twist.,Cocktail Glass,6
Rum Highball,Rum - Daiquiris,2 oz, Light or dark rum,, Ginger ale or soda water,,,,,,,,,Lemon Twist,Pour rum into highball glass over ice cubes. Fill with ginger ale or soda water and stir. Garnish with a lemon twist.,Highball Glass,7
Rum Fix,Rum - Daiquiris,2.5 oz, Light Rum,1 oz,  lemon or lime juice,,,.5 oz,,,,,,,Pour ingredients into ice-filled highball glass and stir. Garnish with a lemon slice. Serve with a straw.,Highball Glass,7
Rum Daisy,Rum - Daiquiris,2 oz, Light Rum,.5 oz,  lemon juice,,,1 oz,1 oz,,,,,Seasonal Fruit,Shake with ice and strain into chilled beer mug or metal cup. Add 1 large ice cube. Garnish with seasonal fruit.,ROCK,10
D'artagnan,Brandy,1 oz, Armagnac,1 oz, Grand Marnier,,,1 oz,.5 oz,3 oz, Chilled Champagne,,,Orange Twist,Shake first four ingredients with ice and strain into champagne flute. Top with Champagne. Garnish with an orange twist.,champagne_flute,6
Rum Cooler,Rum - Daiquiris,2 oz, Light Rum,.5 oz, Simple Syrup,,,2 oz, Soda water or ginger ale,, Orange and/or lemon zest,,,Lemon Twist,"Stir rum and syrup in Collins glass. Fill with ice, add soda water or ginger ale, and stir again. Garnish with a lemon twist.",Collins Glass,14
Rum Collins,Rum - Daiquiris,2 oz, Light Rum,1 oz,  Lime Juice,,,.5 oz, Soda water,,,,,"Lemon Slice, Cherry","Shake rum, lime juice, and syrup with ice and strain into chilled Collins glass. Add several ice cubes, fill with soda water, and stir. Garnish with a lemon slice and a cherry. Serve with a straw.",Collins Glass,14
Seaboabd,Cocktail Classics,1 oz, Old Mr. Boston Blended Whiskey,1 oz, Old Mr. Boston Dry Gin,,,1 oz,1 oz,,,,,Mint,Shake with ice and strain into old-fashioned glass over ice cubes. Garnish with mint.,Old-Fashioned Glass,6
Rum Cobbler,Rum - Daiquiris,2 oz, Light Rum,.25 oz, Simple Syrup,,,,,,,,,,"In red-wine glass, stir rum and syrup. Top with soda water. Garnish with fruit and serve with a straw.",poco_grande,12
Robson Cocktail,Rum - Daiquiris,1.5 oz, Jamaica Rum,.5 oz,  lemon juice,,,.5 oz,.25 oz,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Rio Fix,Rum - Daiquiris,2 oz, Absinthe or pastis,1.5 oz, Cachaca,,,.5 oz,.75 oz,.5 oz, Pineapple Juice,,,,Pour pastis into chilled champagne flute and swirl to coat inside. Shake remaining ingredients with ice and strain into glass.,champagne_flute,6
Ringo Starr,Rum - Daiquiris,3 oz, Red grapes,.5 oz, Lemon,,,6,1 oz,2 oz, African rum,,,,"Muddle grapes, lemon, mint, and sugar in shaker. Add rum and ice and shake briefly. Strain into chilled old-fashioned glass.",Old-Fashioned Glass,6
Restless Native,Rum - Daiquiris,2 oz, Coconut rum,.75 oz, White creme de cacao,,,1.5 oz,,,,,1.5 oz,Lime Twist,Shake with ice and strain into chilled cocktail glass. Garnish with a lime twist.,Cocktail Glass,6
Quarter Deck Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,.5 oz, Cream sherry,,,.5 oz,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Quaker's Cocktail,Rum - Daiquiris,.75 oz, Light Rum,.75 oz, Brandy,,,.5 oz,.25 oz,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Puerto Rican Rum Daisy,Rum - Daiquiris,1.5 oz, Dark rum,.25 oz, Orange curacao,,,.75 oz,.5 oz,1 oz, Angostura Bitters,,,Orange Slice,Shake with ice and strain into chilled cocktail glass. Top with nutmeg and garnish with an orange slice.,Cocktail Glass,6
Cuban Cocktail No. 2,Brandy,1.5 oz, Brandy,.5 oz, Light Rum,,,.5 oz,.5 oz,,,,,,Shake with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Prohibition Punch,Rum - Daiquiris,1.5 oz, Dark rum,.75 oz, Grand Marnier,,,1 oz,1 oz,.25 oz,  lemon juice,,2 oz,,Shake first five ingredients with ice. Strain into ice-filled snifter. Top with Champagne.,poco_grande,8
Prairie Oyster Cocktail,Cocktail Classics,1 oz, Old Mr. Boston Five Star Brandy,1 oz, Worcestershire Sauce,,,1 oz,1 oz,1 oz, Pepper,,,"Egg Yolk, Cayenne Pepper",Shake with ice and strain into old-fashioned glass over two ice cubes. Top with an unbroken egg yolk. Add a dash of cayenne pepper.,Old-Fashioned Glass,6
Poker Cocktail,Rum - Daiquiris,1.5 oz, Light Rum,1.5 oz, Sweet Vermouth,,,,,,,,,,Stir with ice and strain into chilled cocktail glass.,Cocktail Glass,6
Planter's Punch No. 2,Rum - Daiquiris,2 oz, Light Rum,2 oz, Orange juice,,,1 oz,.5 oz,.25 oz," each  lemon juice, triple sec",,,"Lemon Slice, Orange Slice, Pineapple Slice, Cherry, Mint","Stir first five ingredients in ice-filled Collins glass until glass is frosted. Add Jamaican rum, stir, and top with triple sec and grenadine. Garnish with fruit and mint. Serve with a straw.",Collins Glass,14
